"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"68",159,175,"Tree Cover = 59%",62,140,38,0.243137,0.54902,0.14902,39,0
"69",160,137,"Tree Cover = 60%",62,140,38,0.243137,0.54902,0.14902,30,0
"70",161,534,"Tree Cover = 61%",58,138,36,0.227451,0.541176,0.141176,119,0
"71",162,27,"Tree Cover = 62%",56,135,34,0.219608,0.529412,0.133333,6,0
"72",163,34,"Tree Cover = 63%",55,133,33,0.215686,0.521569,0.129412,8,0
"73",164,35,"Tree Cover = 64%",51,130,31,0.2,0.509804,0.121569,8,0
"74",165,140,"Tree Cover = 65%",49,128,29,0.192157,0.501961,0.113725,31,0
"75",166,115,"Tree Cover = 66%",48,125,29,0.188235,0.490196,0.113725,26,0
"76",167,3,"Tree Cover = 67%",44,122,27,0.172549,0.478431,0.105882,1,0
"77",168,7,"Tree Cover = 68%",43,120,25,0.168627,0.470588,0.098039,2,0
"78",169,1,"Tree Cover = 69%",42,117,25,0.164706,0.458824,0.098039,0,0
"79",170,14,"Tree Cover = 70%",39,117,23,0.152941,0.458824,0.090196,3,0
"80",171,1,"Tree Cover = 71%",37,115,22,0.145098,0.45098,0.086275,0,0
"81",173,1,"Tree Cover = 73%",33,110,20,0.129412,0.431373,0.078431,0,0
"82",175,4,"Tree Cover = 75%",31,105,18,0.121569,0.411765,0.070588,1,0
"83",179,1,"Tree Cover = 79%",23,94,13,0.090196,0.368627,0.05098,0,0
"84",180,1,"Tree Cover = 80%",22,94,12,0.086275,0.368627,0.047059,0,0
"85",181,3,"Tree Cover = 81%",21,92,12,0.082353,0.360784,0.047059,1,0
"86",210,947,"Shrub Cover = 10%",212,178,125,0.831373,0.698039,0.490196,211,0
"87",211,964,"Shrub Cover = 11%",212,176,123,0.831373,0.690196,0.482353,214,0
"88",212,2073,"Shrub Cover = 12%",212,175,123,0.831373,0.686275,0.482353,461,0
"89",213,27,"Shrub Cover = 13%",212,174,121,0.831373,0.682353,0.47451,6,0
"90",214,4623,"Shrub Cover = 14%",209,170,119,0.819608,0.666667,0.466667,1028,0
"91",215,9964,"Shrub Cover = 15%",209,168,117,0.819608,0.658824,0.458824,2216,0.1
"92",216,20793,"Shrub Cover = 16%",209,166,117,0.819608,0.65098,0.458824,4624,0.1
"93",217,85,"Shrub Cover = 17%",209,165,115,0.819608,0.647059,0.45098,19,0
"94",218,42250,"Shrub Cover = 18%",209,164,115,0.819608,0.643137,0.45098,9396,0.2
"95",219,79052,"Shrub Cover = 19%",209,161,113,0.819608,0.631373,0.443137,17581,0.5
"96",220,139043,"Shrub Cover = 20%",207,159,112,0.811765,0.623529,0.439216,30922,0.8
"97",221,1572,"Shrub Cover = 21%",207,156,109,0.811765,0.611765,0.427451,350,0
"98",222,221773,"Shrub Cover = 22%",207,155,109,0.811765,0.607843,0.427451,49321,1.3
"99",223,315440,"Shrub Cover = 23%",207,154,107,0.811765,0.603922,0.419608,70152,1.8
"100",224,480596,"Shrub Cover = 24%",207,152,107,0.811765,0.596078,0.419608,106882,2.8
"101",225,22877,"Shrub Cover = 25%",207,151,105,0.811765,0.592157,0.411765,5088,0.1
"102",226,751870,"Shrub Cover = 26%",204,147,104,0.8,0.576471,0.407843,167212,4.4
"103",227,907423,"Shrub Cover = 27%",204,146,102,0.8,0.572549,0.4,201806,5.3
"104",228,1022024,"Shrub Cover = 28%",204,145,102,0.8,0.568627,0.4,227293,6
"105",229,111484,"Shrub Cover = 29%",204,142,100,0.8,0.556863,0.392157,24793,0.7
"106",230,1032062,"Shrub Cover = 30%",204,142,100,0.8,0.556863,0.392157,229525,6
"107",231,927946,"Shrub Cover = 31%",201,137,97,0.788235,0.537255,0.380392,206370,5.4
"108",232,899463,"Shrub Cover = 32%",201,137,97,0.788235,0.537255,0.380392,200036,5.3
"109",233,318554,"Shrub Cover = 33%",201,134,95,0.788235,0.52549,0.372549,70845,1.9
"110",234,858429,"Shrub Cover = 34%",201,134,95,0.788235,0.52549,0.372549,190910,5
"111",235,305277,"Shrub Cover = 35%",201,132,95,0.788235,0.517647,0.372549,67892,1.8
"112",236,630416,"Shrub Cover = 36%",199,129,91,0.780392,0.505882,0.356863,140201,3.7
"113",238,84779,"Shrub Cover = 38%",199,126,90,0.780392,0.494118,0.352941,18854,0.5
"114",239,74394,"Shrub Cover = 39%",199,126,90,0.780392,0.494118,0.352941,16545,0.4
"115",240,34156,"Shrub Cover = 40%",199,123,88,0.780392,0.482353,0.345098,7596,0.2
"116",241,12,"Shrub Cover = 41%",196,121,86,0.768627,0.47451,0.337255,3,0
"117",242,32874,"Shrub Cover = 42%",196,118,84,0.768627,0.462745,0.329412,7311,0.2
"118",243,14026,"Shrub Cover = 43%",196,118,84,0.768627,0.462745,0.329412,3119,0.1
"119",244,11,"Shrub Cover = 44%",196,115,82,0.768627,0.45098,0.321569,2,0
"120",245,10052,"Shrub Cover = 45%",196,115,82,0.768627,0.45098,0.321569,2236,0.1
"121",246,7587,"Shrub Cover = 46%",194,110,79,0.760784,0.431373,0.309804,1687,0
"122",247,5242,"Shrub Cover = 47%",194,110,79,0.760784,0.431373,0.309804,1166,0
"123",249,3759,"Shrub Cover = 49%",194,107,78,0.760784,0.419608,0.305882,836,0
"124",250,2956,"Shrub Cover = 50%",191,105,77,0.74902,0.411765,0.301961,657,0
"125",251,2110,"Shrub Cover = 51%",191,102,75,0.74902,0.4,0.294118,469,0
"126",252,3,"Shrub Cover = 52%",191,102,75,0.74902,0.4,0.294118,1,0
"127",253,1739,"Shrub Cover = 53%",191,100,73,0.74902,0.392157,0.286275,387,0
"128",254,1550,"Shrub Cover = 54%",189,97,72,0.741176,0.380392,0.282353,345,0
"129",255,1488,"Shrub Cover = 55%",189,96,70,0.741176,0.376471,0.27451,331,0
"130",256,1,"Shrub Cover = 56%",189,94,70,0.741176,0.368627,0.27451,0,0
"131",257,1160,"Shrub Cover = 57%",189,94,70,0.741176,0.368627,0.27451,258,0
"132",258,1028,"Shrub Cover = 58%",189,92,68,0.741176,0.360784,0.266667,229,0
"133",259,740,"Shrub Cover = 59%",186,89,67,0.729412,0.34902,0.262745,165,0
"134",261,566,"Shrub Cover = 61%",186,85,65,0.729412,0.333333,0.254902,126,0
"135",262,439,"Shrub Cover = 62%",186,84,63,0.729412,0.329412,0.247059,98,0
"136",263,353,"Shrub Cover = 63%",184,83,62,0.721569,0.32549,0.243137,79,0
"137",265,260,"Shrub Cover = 65%",184,79,61,0.721569,0.309804,0.239216,58,0
"138",266,197,"Shrub Cover = 66%",181,76,60,0.709804,0.298039,0.235294,44,0
"139",268,547,"Shrub Cover = 68%",181,74,58,0.709804,0.290196,0.227451,122,0
"140",269,71,"Shrub Cover = 69%",181,72,58,0.709804,0.282353,0.227451,16,0
"141",270,20,"Shrub Cover = 70%",179,70,55,0.701961,0.27451,0.215686,4,0
"142",272,21,"Shrub Cover = 72%",179,66,54,0.701961,0.258824,0.211765,5,0
"143",273,17,"Shrub Cover = 73%",179,64,54,0.701961,0.25098,0.211765,4,0
"144",274,109,"Shrub Cover = 74%",176,63,53,0.690196,0.247059,0.207843,24,0
"145",310,50966,"Herb Cover = 10%",255,204,102,1,0.8,0.4,11335,0.3
"146",311,23905,"Herb Cover = 11%",255,204,102,1,0.8,0.4,5316,0.1
"147",312,28326,"Herb Cover = 12%",255,201,102,1,0.788235,0.4,6300,0.2
"148",313,30307,"Herb Cover = 13%",255,201,102,1,0.788235,0.4,6740,0.2
