1368,229,221,133,255,896
1356,245,162,122,255,841
1162,245,202,122,255,616
1349,244,191,0,255,376
2718,245,202,122,255,237
1373,123,160,117,255,225
1372,225,225,225,255,208
1177,225,225,225,255,204
1350,232,127,105,255,160
2716,255,190,232,255,151
1155,227,223,162,255,144
1153,211,255,190,255,137
1480,183,138,46,255,137
1156,183,138,46,255,128
1339,205,170,102,255,127
1147,205,170,102,255,126
388,132,140,200,255,125
1149,128,251,26,255,123
2717,255,190,232,255,120
1171,194,158,215,255,120
390,255,115,223,255,117
1146,255,255,115,255,116
1166,137,112,68,255,112
1367,194,158,215,255,105
1365,255,221,216,255,82
1159,158,170,215,255,79
1359,173,250,211,255,77
1161,255,190,232,255,72
1366,145,230,0,255,65
1374,123,124,93,255,62
1179,49,165,167,255,62
1178,123,124,93,255,61
1346,183,138,46,255,58
1151,115,149,230,255,54
1163,137,68,101,255,54
1488,115,255,223,255,50
1170,230,0,169,255,49
1342,160,106,31,255,46
1363,207,157,143,255,46
1485,137,68,101,255,46
1165,115,255,223,255,39
1360,115,255,223,255,39
1175,0,197,255,255,32
1157,230,230,0,255,29
1492,135,86,20,255,27
1500,102,153,205,255,27
1364,135,86,20,255,26
1168,135,86,20,255,26
1172,185,174,211,255,25
1369,185,174,211,255,25
1496,137,205,102,255,24
1340,0,167,132,255,23
1486,169,0,230,255,23
1497,205,205,102,255,22
1152,168,56,0,255,20
1150,190,210,255,255,19
1371,205,205,102,255,19
1375,199,215,158,255,15
1493,255,221,216,255,13
1167,255,85,0,255,11
1343,190,210,255,255,11
1477,168,56,0,255,11
1176,167,205,178,255,10
386,205,205,102,255,10
387,137,205,102,255,10
1370,167,205,178,255,10
1376,166,179,130,255,10
1345,168,56,0,255,9
1341,167,189,30,255,7
1357,205,137,102,255,NA
31,191,191,191,255,NA
11,0,0,255,255,NA
1144,255,255,190,255,NA
12,159,161,240,255,NA
383,255,255,190,255,NA
1145,78,78,78,255,NA
1338,255,242,189,255,NA
1348,223,115,255,255,NA
